City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Yellowknife,CA,62.456,-114.3525,50.52,76,75,9.22,broken clouds
81,Tiksi,RU,71.6872,128.8694,31.98,70,97,4.52,overcast clouds
82,Xining,CN,36.6167,101.7667,56.03,81,100,0.69,overcast clouds
83,Namibe,AO,-15.1961,12.1522,62.78,86,78,11.34,broken clouds
84,Tshane,BW,-24.0196,21.8684,76.41,19,89,9.95,overcast clouds
85,Nanortalik,GL,60.1432,-45.2371,45.97,82,100,6.08,overcast clouds
86,Aquiraz,BR,-3.9014,-38.3911,80.69,82,21,12.66,few clouds
87,Flin Flon,CA,54.7682,-101.865,66.04,48,75,9.22,broken clouds
88,Yangjiang,CN,21.85,111.9667,79.29,86,56,2.77,broken clouds
89,Tucumcari,US,35.1717,-103.725,93.04,20,0,6.91,clear sky
90,Hermanus,ZA,-34.4187,19.2345,49.8,75,84,8.63,light rain
91,Coahuayana,MX,18.7333,-103.6833,76.86,95,100,2.04,overcast clouds
92,Ornskoldsvik,SE,63.2909,18.7153,47.35,100,100,5.75,light intensity drizzle
93,Airai,TL,-8.9266,125.4092,58.42,49,97,2.77,overcast clouds
94,Da Nang,VN,16.0678,108.2208,75.18,94,20,2.3,few clouds
95,Zhigansk,RU,66.7697,123.3711,31.86,84,99,12.41,overcast clouds
96,Necochea,AR,-38.5473,-58.7368,58.1,79,100,15.17,overcast clouds
97,Broome,US,42.2506,-75.833,78.71,68,100,1.99,overcast clouds
98,Sobolevo,RU,54.4299,31.8996,49.32,97,100,13.98,light rain
99,Puri,IN,19.8,85.85,77.52,85,100,5.99,heavy intensity rain
100,Coquimbo,CL,-29.9533,-71.3436,62.33,63,0,14.97,clear sky
101,Severo-Kurilsk,RU,50.6789,156.125,51.71,94,84,16.55,broken clouds
102,Asuncion Nochixtlan,MX,17.4667,-97.2333,65.93,74,98,7.45,overcast clouds
103,Asau,RO,46.4333,26.4,54.52,71,20,13.65,few clouds
104,Iwanai,JP,42.9744,140.5089,67.08,97,100,4.7,moderate rain
105,Marivan,IR,35.5219,46.176,71.01,20,7,2.62,clear sky
106,Bandipur,NP,27.9333,84.4167,64.85,90,81,2.37,broken clouds
107,Sangar,RU,63.9242,127.4739,28.74,94,17,8.97,few clouds
108,Warwick,US,41.7001,-71.4162,81.82,63,75,16.11,broken clouds
109,Nuuk,GL,64.1835,-51.7216,44.35,86,100,7.0,overcast clouds
110,San Antonio,US,29.4241,-98.4936,98.85,41,0,11.5,clear sky
111,Marawi,PH,7.9986,124.2928,67.98,91,96,4.54,overcast clouds
112,Upernavik,GL,72.7868,-56.1549,37.45,74,99,3.69,overcast clouds
113,Nikolskoye,RU,59.7035,30.7861,49.91,87,100,1.92,overcast clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,68,0,13.8,clear sky
115,Kavaratti,IN,10.5669,72.642,80.44,80,98,10.38,overcast clouds
116,Nioro,GM,13.35,-15.75,74.7,94,100,4.52,overcast clouds
117,Sarangani,PH,5.4033,125.4636,83.25,72,56,3.8,broken clouds
118,Qaanaaq,GL,77.484,-69.3632,23.58,57,0,7.31,clear sky
119,Yakuplu,TR,40.9889,28.6758,69.15,43,40,16.11,scattered clouds
120,Rio Gallegos,AR,-51.6226,-69.2181,51.85,37,0,11.5,clear sky
121,Manono,CD,-7.3,27.4167,72.43,81,100,7.16,overcast clouds
122,Hasaki,JP,35.7333,140.8333,79.29,90,79,19.95,broken clouds
123,Iranshahr,IR,27.2025,60.6848,91.74,27,0,0.0,clear sky
124,Tual,ID,-5.6667,132.75,81.9,76,84,6.2,broken clouds
125,Massakory,TD,12.996,15.7293,80.33,73,59,4.36,broken clouds
126,San Cristobal,VE,7.7669,-72.225,84.38,67,23,5.35,few clouds
127,Shingu,JP,33.7333,135.9833,79.5,94,100,17.38,overcast clouds
128,Gugesti,RO,45.5667,27.1333,55.35,56,16,1.9,few clouds
129,Thinadhoo,MV,0.5333,72.9333,82.13,71,100,8.1,overcast clouds
130,Amboasary,MG,-25.0333,46.3833,69.87,76,7,5.19,clear sky
131,Yar-Sale,RU,66.8333,70.8333,45.45,96,100,9.26,overcast clouds
132,Sungaipenuh,ID,-2.0833,101.3833,64.69,91,100,1.52,overcast clouds
133,Jamestown,US,42.097,-79.2353,75.94,52,100,5.01,overcast clouds
134,Gushikawa,JP,26.3544,127.8686,80.19,83,75,13.8,mist
135,Balabac,PH,7.9868,117.0645,80.62,81,100,5.73,overcast clouds
136,Izhma,RU,65.0083,53.9113,46.33,96,92,3.96,overcast clouds
137,Pisco,PE,-13.7,-76.2167,64.45,77,20,9.22,few clouds
138,Pevek,RU,69.7008,170.3133,32.61,97,100,17.81,light snow
139,Stony Plain,CA,53.5334,-114.0021,62.74,65,75,10.36,broken clouds
140,Bezhanitsy,RU,56.9767,29.8907,50.92,80,100,7.0,overcast clouds
141,General Roca,AR,-39.0333,-67.5833,45.63,55,100,15.43,overcast clouds
142,Kaberamaido,UG,1.7389,33.1594,69.76,80,90,2.08,overcast clouds
143,Mitzic,GA,0.7821,11.549,68.27,98,76,3.06,light rain
144,Dikson,RU,73.5069,80.5464,30.97,78,12,17.25,few clouds
145,Angoche,MZ,-16.2325,39.9086,74.66,81,0,11.63,clear sky
146,Belmonte,BR,-15.8631,-38.8828,71.1,78,46,9.17,scattered clouds
147,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,12.66,light rain
148,Morgan City,US,29.6994,-91.2068,88.0,62,62,3.96,broken clouds
149,Kulhudhuffushi,MV,6.6221,73.07,80.64,77,100,9.75,overcast clouds
150,Sao Filipe,CV,14.8961,-24.4956,78.55,75,16,8.59,few clouds
