City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Naranjal,EC,82.38,scattered clouds,-2.6667,-79.6167,Media Naranja
353,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
355,Cuamba,MZ,74.52,clear sky,-14.8031,36.5372,Hotel Vision
360,Dogbo,BJ,73.58,heavy intensity rain,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
361,Jacksonville Beach,US,83.01,broken clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
364,Bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
365,Omboue,GA,76.14,overcast clouds,-1.5746,9.2618,Hotel Olako
366,Nicoya,CR,76.39,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
368,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
370,Lagoa,PT,73.29,overcast clouds,39.05,-27.9833,Casa Das Faias
371,Qui Nhon,VN,78.6,overcast clouds,13.7667,109.2333,Seagull Hotel
372,Zaragoza,ES,73.85,clear sky,41.6561,-0.8773,Hotel Goya
373,Bubaque,GW,79.45,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
374,Vao,NC,73.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
385,Shaoguan,CN,76.86,scattered clouds,24.8,113.5833,Shangcheng Hotel
386,Nantucket,US,75.34,clear sky,41.2835,-70.0995,Jared Coffin House
388,Itarema,BR,78.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
389,Uvira,CD,76.53,light rain,-3.4067,29.1458,Hotel Suzana
390,Fomboni,KM,76.53,clear sky,-12.28,43.7425,Auberge les abou
393,Hirara,JP,80.78,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
395,Bemidji,US,74.17,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
396,Gwadar,PK,79.72,few clouds,25.1216,62.3254,Sadaf Resort
398,Kassala,SD,82.4,overcast clouds,15.451,36.4,Amassi Hotel Gash
400,Izumo,JP,80.55,moderate rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
403,Nargana,PA,80.55,overcast clouds,9.4428,-78.5906,Dubbir
406,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
407,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
410,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
411,Saint-Georges,GD,82.47,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
412,Sinnamary,GF,81.84,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Liaqatabad,PK,82.44,smoke,31.5647,74.3029,"Hotel One Down Town, Lahore"
416,Arrecife,ES,76.98,scattered clouds,28.963,-13.5477,Hotel Lancelot
417,Marovoay,MG,72.43,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
418,Barcelona,ES,73.33,overcast clouds,41.3888,2.159,Axel Hotel Barcelona
419,Salamanca,ES,73.62,broken clouds,40.8333,-6.0,Palacio Carrascalino
420,Alofi,NU,76.77,clear sky,-19.0595,-169.9187,Taloa Heights
421,San Onofre,CO,82.35,overcast clouds,9.7359,-75.5263,Hotel Sinai
422,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
423,Port Blair,IN,81.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
425,Katsuura,JP,80.62,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
426,San Policarpo,PH,78.78,moderate rain,12.1791,125.5072,Agapita M. Nicart
428,Pacifica,US,70.0,moderate rain,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
430,Kavieng,PG,81.37,light rain,-2.5744,150.7967,Nusa Island Retreat
432,Asifabad,IN,75.79,overcast clouds,19.3667,79.2833,సిడం కైలాష్
433,Brigantine,US,83.03,few clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
435,Eydhafushi,MV,81.5,overcast clouds,5.1033,73.0708,Soneva Fushi
436,Mersing,MY,75.49,overcast clouds,2.4312,103.8405,Timotel Hotel
439,Srandakan,ID,76.75,overcast clouds,-7.9386,110.2506,Puri Brata
440,Mount Pleasant,US,84.34,clear sky,32.7941,-79.8626,Best Western Patriots Point
441,Jagdalpur,IN,70.61,moderate rain,19.0667,82.0333,Hotel Devansh Residency
446,Lata,PT,74.91,scattered clouds,40.1629,-8.3327,Casa Maquia
448,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Kost Pria
450,Riyadh,SA,88.25,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
451,Key Largo,US,82.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
452,Port Huron,US,86.23,scattered clouds,42.9709,-82.4249,Fairfield Inn by Marriott Port Huron
457,Porto Novo,BJ,75.54,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
458,Aden,YE,89.91,broken clouds,12.7794,45.0367,Sama Emirate Hotel
460,Pasni,PK,79.05,clear sky,25.2631,63.471,Kashmiri Hotal
465,Trincomalee,LK,80.01,overcast clouds,8.5711,81.2335,Welcombe Hotel
467,Rio Claro,BR,73.22,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
479,Roma,US,75.87,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
481,Gorontalo,ID,74.23,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
483,Saint Anthony,US,70.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
484,Kaseda,JP,77.9,light rain,31.4167,130.3167,Sun Stay Kaseda
485,Bandarbeyla,SO,77.11,clear sky,9.4942,50.8122,JABIR HOTEL
488,Goderich,CA,76.91,scattered clouds,43.7501,-81.7165,Harmony Inn
490,Tezu,IN,75.7,scattered clouds,27.9167,96.1667,Circuit House
493,Kutum,SD,80.42,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
494,Hailey,US,77.88,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
495,Palmer,US,82.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
497,Bodden Town,KY,89.98,few clouds,19.2833,-81.25,Will T Place
498,Tura,IN,74.77,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
502,Praia Da Vitoria,PT,74.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
503,Acapulco,MX,77.74,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
511,Seoul,KR,78.19,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
514,Jacmel,HT,87.64,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
515,Ternate,ID,79.56,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
516,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
517,Gossas,SN,80.37,light rain,14.4912,-16.0642,Ndiayéne
520,The Valley,AI,83.1,light rain,18.217,-63.0578,CeBlue Villas & Beach Resort
522,Waterloo,CA,76.55,broken clouds,43.4668,-80.5164,The Walper Hotel
523,Johnson City,US,82.54,clear sky,36.3134,-82.3535,Hampton Inn Johnson City
525,Polignano A Mare,IT,71.74,clear sky,40.9959,17.2159,Grotta Palazzese
528,Evans,US,86.9,scattered clouds,33.5337,-82.1307,Evans hide out
534,San Quintin,MX,72.21,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
535,Havelock,US,85.05,broken clouds,34.8791,-76.9013,Sherwood Motel
536,Harsin,IR,71.6,scattered clouds,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
538,Yamada,JP,75.54,overcast clouds,39.4667,141.95,Iroha-ya Inn
546,Boffa,GN,76.5,moderate rain,10.1667,-14.0333,Hôtel Niara Belly
548,Carutapera,BR,79.63,overcast clouds,-1.195,-46.02,Lidera
551,Takanosu,JP,72.19,overcast clouds,40.2219,140.3694,Hotel New Matsuo
555,Karpathos,GR,76.96,clear sky,35.507,27.2132,Alex
556,Puerto Baquerizo Moreno,EC,72.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
557,Axim,GH,75.16,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
559,Hambantota,LK,79.18,overcast clouds,6.1241,81.1185,Bungalow 63
561,Puerto Narino,CO,88.25,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
562,Tukrah,LY,77.81,clear sky,32.5341,20.5791,Lagrota restaurant
564,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
565,Rawlins,US,75.34,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
567,Carupano,VE,85.89,broken clouds,10.6678,-63.2585,Hotel La dorada
568,Soyo,AO,74.08,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
569,Horizontina,BR,70.39,scattered clouds,-27.6258,-54.3078,Hotel Avenida
570,Barra,BR,86.7,scattered clouds,-11.0894,-43.1417,Pousada Bahia
572,Puqi,CN,71.73,scattered clouds,29.7167,113.8833,Ramada Plaza Chibi
573,Pochutla,MX,76.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
574,Wajima,JP,78.64,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
576,Mackay,AU,74.68,clear sky,-21.15,149.2,International Lodge Motel
579,Upata,VE,84.2,scattered clouds,8.0086,-62.3989,Posada Villa Nela
580,Kailaras,IN,79.36,clear sky,26.3167,77.6167,बिश्राम घाट कैलारस
582,Namatanai,PG,79.57,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
583,Syracuse,IT,74.57,broken clouds,37.0881,15.2792,Hotel Posta
585,San Rafael Del Sur,NI,79.84,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
586,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
587,Sola,VU,80.38,overcast clouds,-13.8833,167.55,Leumerus Bungalows
591,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
592,Biak,ID,75.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
593,Pemba,MZ,75.9,scattered clouds,-12.974,40.5178,Guesthouse Samotina
594,Divnomorskoye,RU,70.75,few clouds,44.5011,38.1353,Primorskiy
595,Yuncheng,CN,74.8,overcast clouds,35.0231,110.9928,晋州快捷酒店
597,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
600,Sibsagar,IN,76.8,clear sky,26.9833,94.6333,Hotel Brahmaputra
603,Shushtar,IR,87.51,clear sky,32.0455,48.8567,چاپ یاس کبود
606,Tecozautla,MX,74.1,overcast clouds,20.5333,-99.6333,Hotel Tecozautla
611,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
617,Labuhan,ID,76.6,scattered clouds,-6.8844,112.2051,DoubleFAG
624,Cao Bang,VN,72.93,overcast clouds,22.6667,106.25,khách sạn 88
627,Mocuba,MZ,72.93,clear sky,-16.8392,36.9856,Phama Lodge
628,Beirut,LB,79.54,broken clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
630,Jizan,SA,89.82,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
631,Fare,PF,78.8,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
637,Santa Helena De Goias,BR,89.44,scattered clouds,-17.8136,-50.5969,Castro Castle Hotel
638,Praxedis Guerrero,MX,76.46,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
641,Pedernales,DO,85.24,scattered clouds,18.0384,-71.744,Hotel Costa Marina
642,Pocinhos,BR,70.88,clear sky,-7.0767,-36.0611,Hotel Central
644,Alta Floresta,BR,75.02,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
645,Toronto,CA,78.44,broken clouds,43.7001,-79.4163,Furnished Apartments at Yonge & Eglinton by Canvas
646,Islamkot,PK,81.88,clear sky,24.6997,70.177,Pizza point islamkot
647,Bridgetown,BB,84.69,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
652,Ewa Beach,US,85.98,overcast clouds,21.3156,-158.0072,Base Lodging
654,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
655,Voh,NC,76.6,few clouds,-20.9667,164.7,Le gîte du Koniambo
656,Samfya,ZM,73.78,few clouds,-11.3649,29.5565,Chita Lodge Samfya
658,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
659,San Carlos Del Zulia,VE,89.31,scattered clouds,9.0,-71.9135,Hotel El Manantial
662,Wahiawa,US,82.76,overcast clouds,21.5028,-158.0236,The Inn At Schofield
666,Ramhormoz,IR,87.3,clear sky,31.28,49.6035,کافی نت کاریزما
670,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
671,Gazanjyk,TM,72.99,clear sky,39.2446,55.5154,Railway motel
672,Inirida,CO,86.95,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
673,Kakonko,TZ,70.95,overcast clouds,-3.2828,30.9642,Edward Memorial Guest House
674,Bud,US,85.95,broken clouds,39.447,-86.1758,Ted McQuinn Trust
675,Pierre,US,83.05,clear sky,44.3683,-100.351,Ramkota Hotel
677,Miraflores,MX,70.45,overcast clouds,19.2167,-98.8083,Hotel Mansión
679,Palauig,PH,78.94,broken clouds,15.435,119.9045,Villa Raphael Resort
682,Vanimo,PG,76.19,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
688,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
